Twitter Username,Stripped Name,Handle
Rep. Jim McGovern,Jim McGovern,RepMcGovern
RepCharlieDent,CharlieDent,RepCharlieDent
Frank LoBiondo,Frank LoBiondo,RepLoBiondo
Yvette D. Clarke,Yvette Clarke,YvetteClarke
"Rep. Paul Gosar, DDS","Paul Gosar, DDS",RepGosar
David B. McKinley,David McKinley,RepMcKinley
Rep. Jeff Duncan,Jeff Duncan,RepJeffDuncan
Rep. Mick Mulvaney,Mick Mulvaney,RepMickMulvaney
Alan Nunnelee,Alan Nunnelee,RepAlanNunnelee
Rep. Tom Marino,Tom Marino,RepTomMarino
HomelandSecurityCmte,HomelandSecurityCmte,HouseHomeland
Congressmember Bass,ressmember Bass,RepKarenBass
Rep. Rubén Hinojosa,Rubén Hinojosa,USRepRHinojosa
Rep. Lou Barletta,Lou Barletta,RepLouBarletta
Mike Fitzpatrick,Mike Fitzpatrick,RepFitzpatrick
Rep Tim Walberg,Tim Walberg,RepWalberg
Rep. Randy Hultgren,Randy Hultgren,RepHultgren
Rep. John Carney,John Carney,JohnCarneyDE
Rep. Vicky Hartzler,Vicky Hartzler,RepHartzler
Steve Chabot,Steve Chabot,RepSteveChabot
Trey Gowdy,Trey Gowdy,TGowdySC
Rep. Bill Flores,Bill Flores,RepBillFlores
Mo Brooks,Mo Brooks,RepMoBrooks
Rep. Frank Guinta,Frank Guinta,RepFrankGuinta
Rep. Jim Renacci,Jim Renacci,RepJimRenacci
Rep. Richard Hanna,Richard Hanna,RepRichardHanna
Senator Gary Peters,Gary Peters,SenGaryPeters
Rich Nugent,Rich Nugent,RepRichNugent
Rep. Norma Torres,Norma Torres,NormaJTorres
Scott DesJarlais,Scott DesJarlais,DesJarlaisTN04
Steve Pearce,Steve Pearce,RepStevePearce
Rep. Kristi Noem,Kristi Noem,RepKristiNoem
Cory Gardner ,Cory Gardner,SenCoryGardner
Chuck Fleischmann,Chuck Fleischmann,RepChuck
Chris Gibson,Chris Gibson,RepChrisGibson
Rep. Ed Whitfield,Ed Whitfield,RepEdWhitfield
Rep. Robert Hurt ,Robert Hurt,RepRobertHurt
Rep. Bob Gibbs,Bob Gibbs,RepBobGibbs
"Larry Bucshon, MD","Larry Bucshon, MD",RepLarryBucshon
Rep. Austin Scott,Austin Scott,AustinScottGA08
House Ag Committee,House Ag Committee,HouseAgNews
Rep. Steve Womack,Steve Womack,rep_stevewomack
Senator Joe Manchin,Joe Manchin,Sen_JoeManchin
Immigration Subcmte,Immigration Subcmte,ImmigrationGOP
Rep. Todd Young,Todd Young,RepToddYoung
Morgan Griffith,Morgan Griffith,RepMGriffith
Reid Ribble,Reid Ribble,RepRibble
Sean Duffy,Sean Duffy,RepSeanDuffy
Frederica Wilson,Frederica Wilson,RepWilson
Rep. Bill Huizenga,Bill Huizenga,RepHuizenga
Justin Amash,Justin Amash,justinamash
Cong. Tim Huelskamp,Tim Huelskamp,CongHuelskamp
Senator Ron Johnson,Ron Johnson,SenRonJohnson
Senate Ag Democrats,Ag Democrats,SenateAgDems
Rep Rick Crawford,Rick Crawford,RepRickCrawford
Bill Keating,Bill Keating,USRepKeating
Joaquin Castro ,Joaquin Castro,JoaquinCastrotx
US Rep Brendan Boyle,Brendan Boyle,RepBrendanBoyle
Kelly Ayotte,Kelly Ayotte,KellyAyotte
Rep David Schweikert,David Schweikert,RepDavid
Sen. James Lankford,James Lankford,SenatorLankford
CHA Republicans,CHA Republicans,HouseAdmnGOP
Rep. Martha Roby ,Martha Roby,RepMarthaRoby
Michael F. Bennet,Michael Bennet,SenBennetCO
Congressman Joe Heck,Joe Heck,RepJoeHeck
Rep. Scott Rigell,Scott Rigell,RepScottRigell
Nita Lowey,Nita Lowey,NitaLowey
Senator Pat Toomey,Pat Toomey,SenToomey
Adam Kinzinger,Adam Kinzinger,RepKinzinger
Tim Scott,Tim Scott,SenatorTimScott
Dr. Rand Paul,Dr. Rand Paul,RandPaul
Senator Joe Donnelly,Joe Donnelly,SenDonnelly
Rep. Renee Ellmers,Renee Ellmers,RepReneeEllmers
Senator Dan Coats,Dan Coats,SenDanCoats
Rep. Marlin Stutzman,Marlin Stutzman,RepStutzman
Mark Kirk,Mark Kirk,SenatorKirk
Bill Johnson,Bill Johnson,RepBillJohnson
Steve Stivers,Steve Stivers,RepSteveStivers
Rep. Henry Cuellar,Henry Cuellar,RepCuellar
Sen. John Barrasso,John Barrasso,SenJohnBarrasso
André Carson,André Carson,RepAndreCarson
CongressmanJoePitts,JoePitts,RepJoePitts
Rep. Pete Visclosky,Pete Visclosky,RepVisclosky
Shelley Moore Capito,Shelley Moore Capito,SenCapito
Judy Chu,Judy Chu,RepJudyChu
Tom Graves,Tom Graves,RepTomGraves
James E. Clyburn,James Clyburn,Clyburn
Senator Tim Kaine,Tim Kaine,timkaine
Senate Budget Cmte,Budget Cmte,SenateBudget
Senator Bob Casey,Bob Casey,SenBobCasey
David Scott,David Scott,repdavidscott
US Rep E.B.Johnson,B.Johnson,RepEBJ
